PlotID,Ass_1,Conf_1,Ass_2,Conf_2,NBR,ctry
21,1,h,1,h,1,cambodia
17,1,h,1,l,1,cambodia
238,0,l,0,h,0,cambodia
227,0,h,0,h,0,cambodia
128,0,l,0,h,0,cambodia
95,1,h,1,h,1,cambodia
30,1,l,1,h,1,cambodia
106,0,h,1,l,1,cambodia
101,1,h,1,h,1,cambodia
22,1,h,1,h,1,cambodia
6,0,h,0,l,1,cambodia
209,0,h,0,l,0,cambodia
26,1,h,1,h,1,cambodia
196,1,h,1,h,0,cambodia
175,0,h,0,h,0,cambodia
34,1,h,1,h,1,cambodia
228,0,h,0,h,0,cambodia
237,0,h,0,h,0,cambodia
136,1,h,0,h,0,cambodia
104,0,h,0,h,1,cambodia
5,1,h,1,h,1,cambodia
61,1,h,1,h,1,cambodia
80,1,h,1,h,1,cambodia
222,0,h,0,h,0,cambodia
162,0,h,0,h,0,cambodia
27,1,h,1,h,1,cambodia
123,0,h,0,h,0,cambodia
129,1,h,1,l,0,cambodia
168,0,h,0,h,0,cambodia
63,1,l,1,h,1,cambodia
82,1,h,1,h,1,cambodia
108,0,h,0,l,1,cambodia
87,1,h,1,h,1,cambodia
116,1,h,1,h,1,cambodia
103,1,h,1,h,1,cambodia
29,1,h,1,h,1,cambodia
96,1,h,1,h,1,cambodia
111,1,l,1,h,1,cambodia
108,1,l,1,l,1,laos
69,1,l,1,l,1,laos
111,1,l,1,l,1,laos
215,0,h,0,l,0,laos
231,1,l,1,l,0,laos
21,0,l,0,l,1,laos
238,0,l,0,h,0,laos
29,1,h,1,h,1,laos
177,0,h,0,h,0,laos
223,0,h,0,h,0,laos
97,0,h,0,l,1,laos
34,1,l,1,l,1,laos
100,0,h,0,l,1,laos
147,0,h,0,h,0,laos
28,1,l,1,h,1,laos
133,1,l,0,l,0,laos
99,0,l,0,l,1,laos
228,0,l,0,l,0,laos
17,1,l,1,l,1,laos
232,0,h,0,h,0,laos
57,1,l,1,l,1,laos
163,0,l,0,l,0,laos
157,0,l,0,l,0,laos
50,0,h,0,l,1,laos
220,0,l,0,h,0,laos
227,0,l,0,l,0,laos
188,0,h,0,h,0,laos
87,0,h,0,l,1,laos
174,0,l,0,l,0,laos
5,0,h,1,l,1,laos
61,1,l,1,l,1,laos
72,1,h,1,h,1,laos
217,0,l,0,l,0,laos
58,1,l,1,l,1,laos
31,0,l,0,l,1,laos
169,0,l,0,h,0,laos
1,1,l,1,l,1,laos
164,0,l,0,h,0,laos
166,0,l,0,h,0,laos
152,0,l,0,h,0,laos
60,0,l,1,l,1,laos
83,1,l,1,l,1,laos
122,0,h,0,h,0,laos
208,0,h,0,h,0,laos
85,1,l,1,l,1,laos
113,0,l,0,l,1,laos
110,0,h,0,l,1,laos
182,0,h,0,h,0,laos
59,1,l,1,l,1,laos
10,1,l,1,l,1,laos
144,0,l,0,l,0,laos
229,0,h,0,h,0,laos
178,1,l,1,l,0,laos
132,0,h,0,h,0,laos
154,0,l,0,h,0,laos
189,0,l,0,l,0,laos
206,0,l,0,l,0,laos
159,1,h,1,h,0,laos
141,0,h,0,h,0,laos
224,1,h,1,l,0,laos
42,1,l,1,l,1,laos
107,1,l,1,l,1,laos
192,0,l,0,l,0,laos
194,0,h,0,h,0,laos
210,0,l,0,h,0,laos
170,0,l,0,h,0,laos
125,0,l,0,h,0,laos
115,0,h,0,h,1,laos
49,0,h,0,l,1,laos
95,1,l,1,l,1,laos
18,0,h,0,l,1,laos
205,1,l,1,l,0,laos
213,0,l,0,h,0,laos
239,0,h,0,h,0,laos
3,0,l,0,l,1,laos
168,0,l,0,l,0,laos
11,1,l,1,l,1,laos
196,0,h,0,h,0,laos
98,1,l,1,l,1,laos
240,0,l,0,h,0,laos
105,0,h,1,l,1,laos
20,1,l,1,l,1,laos
75,1,l,1,l,1,laos
218,0,l,0,l,0,laos
114,1,l,1,l,1,laos
235,0,l,0,h,0,laos
134,0,h,0,h,0,laos
88,1,l,1,l,1,laos
25,1,l,1,l,1,laos
121,0,l,0,h,0,laos
102,0,l,0,l,1,laos
216,0,l,0,l,0,laos
32,1,l,1,l,1,laos
173,1,l,0,l,0,laos
234,0,h,0,l,0,laos
204,0,l,0,l,0,laos
185,0,l,0,l,0,laos
187,0,l,0,l,0,laos
184,0,h,0,h,0,laos
9,1,l,1,l,1,laos
37,1,l,1,l,1,laos
161,1,l,1,l,0,laos
180,1,l,1,l,0,laos
172,0,l,0,l,0,laos
207,1,l,1,l,0,laos
237,0,l,0,h,0,laos
118,1,l,1,h,1,laos
195,0,l,0,l,0,laos
43,1,l,1,l,1,laos
202,1,l,1,l,0,laos
40,1,h,1,h,1,laos
221,0,h,0,h,0,laos
171,1,h,1,l,0,laos
92,1,h,1,h,1,laos
90,1,l,1,h,1,laos
131,0,l,0,l,0,laos
67,0,h,0,l,1,laos
236,0,l,0,h,0,laos
93,0,h,0,l,1,laos
128,0,l,0,h,0,laos
103,1,l,1,l,1,laos
89,0,l,0,l,1,laos
106,1,h,1,h,1,laos
233,0,l,0,h,0,laos
71,0,l,0,l,1,laos
73,1,h,1,h,1,laos
68,0,l,0,l,1,laos
176,0,l,0,h,0,laos
153,0,h,0,h,0,laos
52,1,h,1,h,1,laos
81,1,l,1,l,1,laos
63,1,l,1,l,1,laos
79,0,l,0,l,1,laos
219,0,h,0,h,0,laos
45,1,l,1,l,1,laos
24,1,l,1,l,1,laos
77,0,l,0,l,1,laos
30,1,h,1,h,1,laos
160,0,l,0,l,0,laos
197,0,l,0,l,0,laos
27,1,l,1,l,1,laos
151,0,l,0,h,0,laos
137,0,l,0,h,0,laos
230,0,h,0,h,0,laos
48,1,l,1,l,1,laos
181,0,h,0,h,0,laos
117,0,l,0,l,1,laos
158,0,l,0,h,0,laos
191,0,l,0,h,0,laos
101,1,l,1,l,1,laos
226,0,h,0,h,0,laos
150,0,l,0,h,0,laos
36,1,l,1,l,1,laos
82,1,l,1,l,1,laos
140,0,l,0,l,0,laos
200,0,l,0,l,0,laos
214,0,l,0,l,0,laos
129,1,l,1,h,0,laos
130,0,l,0,h,0,laos
109,1,l,1,l,1,laos
70,1,h,1,h,1,laos
64,1,l,1,h,1,laos
201,0,l,0,h,0,laos
143,0,l,0,h,0,laos
136,0,l,0,h,0,laos
162,0,l,0,h,0,laos
145,0,l,0,l,0,laos
74,1,h,1,h,1,laos
104,1,h,1,h,1,laos
167,0,l,0,l,0,laos
16,1,l,1,l,1,laos
190,0,l,0,h,0,laos
94,1,l,1,l,1,laos
123,1,l,1,l,0,laos
165,1,l,1,l,0,laos
47,1,l,1,l,1,laos
53,1,h,1,h,1,laos
23,1,l,1,l,1,laos
54,1,l,1,l,1,laos
135,0,l,0,l,0,laos
96,1,l,1,l,1,laos
22,1,l,1,h,1,laos
78,1,l,1,h,1,laos
212,1,l,1,h,0,laos
33,0,l,0,l,1,laos
4,1,l,1,l,1,laos
55,1,l,1,l,1,laos
76,1,l,1,l,1,laos
46,1,l,1,l,1,laos
222,0,h,0,h,0,laos
56,0,h,0,h,1,laos
62,1,l,1,l,1,laos
126,0,l,0,h,0,laos
39,1,h,1,h,1,laos
80,1,l,1,l,1,laos
14,1,h,1,l,1,laos
35,0,l,0,l,1,laos
2,0,l,0,l,1,laos
8,1,h,1,h,1,laos
124,0,h,0,l,0,laos
